blockNumber,bits,bitsDecimal
80640,0x1b4766ed,457664237
80641,0x1b4766ed,457664237
80642,0x1b4766ed,457664237
80643,0x1b4766ed,457664237
80644,0x1b4766ed,457664237
80645,0x1b4766ed,457664237
80646,0x1b4766ed,457664237
80647,0x1b4766ed,457664237
80648,0x1b4766ed,457664237
80649,0x1b4766ed,457664237
80650,0x1b4766ed,457664237
80651,0x1b4766ed,457664237
80652,0x1b4766ed,457664237
80653,0x1b4766ed,457664237
80654,0x1b4766ed,457664237
80655,0x1b4766ed,457664237
80656,0x1b4766ed,457664237
80657,0x1b4766ed,457664237
80658,0x1b4766ed,457664237
80659,0x1b4766ed,457664237
80660,0x1b4766ed,457664237
80661,0x1b4766ed,457664237
80662,0x1b4766ed,457664237
80663,0x1b4766ed,457664237
80664,0x1b4766ed,457664237
80665,0x1b4766ed,457664237
80666,0x1b4766ed,457664237
80667,0x1b4766ed,457664237
80668,0x1b4766ed,457664237
80669,0x1b4766ed,457664237
80670,0x1b4766ed,457664237
80671,0x1b4766ed,457664237
80672,0x1b4766ed,457664237
80673,0x1b4766ed,457664237
80674,0x1b4766ed,457664237
80675,0x1b4766ed,457664237
80676,0x1b4766ed,457664237
80677,0x1b4766ed,457664237
80678,0x1b4766ed,457664237
80679,0x1b4766ed,457664237
80680,0x1b4766ed,457664237
80681,0x1b4766ed,457664237
80682,0x1b4766ed,457664237
80683,0x1b4766ed,457664237
80684,0x1b4766ed,457664237
80685,0x1b4766ed,457664237
80686,0x1b4766ed,457664237
80687,0x1b4766ed,457664237
80688,0x1b4766ed,457664237
80689,0x1b4766ed,457664237
80690,0x1b4766ed,457664237
80691,0x1b4766ed,457664237
80692,0x1b4766ed,457664237
80693,0x1b4766ed,457664237
80694,0x1b4766ed,457664237
80695,0x1b4766ed,457664237
80696,0x1b4766ed,457664237
80697,0x1b4766ed,457664237
80698,0x1b4766ed,457664237
80699,0x1b4766ed,457664237
80700,0x1b4766ed,457664237
80701,0x1b4766ed,457664237
80702,0x1b4766ed,457664237
80703,0x1b4766ed,457664237
80704,0x1b4766ed,457664237
80705,0x1b4766ed,457664237
80706,0x1b4766ed,457664237
80707,0x1b4766ed,457664237
80708,0x1b4766ed,457664237
80709,0x1b4766ed,457664237
80710,0x1b4766ed,457664237
80711,0x1b4766ed,457664237
80712,0x1b4766ed,457664237
80713,0x1b4766ed,457664237
80714,0x1b4766ed,457664237
80715,0x1b4766ed,457664237
80716,0x1b4766ed,457664237
80717,0x1b4766ed,457664237
80718,0x1b4766ed,457664237
80719,0x1b4766ed,457664237
80720,0x1b4766ed,457664237
80721,0x1b4766ed,457664237
80722,0x1b4766ed,457664237
80723,0x1b4766ed,457664237
80724,0x1b4766ed,457664237
80725,0x1b4766ed,457664237
80726,0x1b4766ed,457664237
80727,0x1b4766ed,457664237
80728,0x1b4766ed,457664237
80729,0x1b4766ed,457664237
80730,0x1b4766ed,457664237
80731,0x1b4766ed,457664237
80732,0x1b4766ed,457664237
80733,0x1b4766ed,457664237
80734,0x1b4766ed,457664237
80735,0x1b4766ed,457664237
80736,0x1b4766ed,457664237
80737,0x1b4766ed,457664237
80738,0x1b4766ed,457664237
80739,0x1b4766ed,457664237
80740,0x1b4766ed,457664237
80741,0x1b4766ed,457664237
80742,0x1b4766ed,457664237
80743,0x1b4766ed,457664237
80744,0x1b4766ed,457664237
80745,0x1b4766ed,457664237
80746,0x1b4766ed,457664237
80747,0x1b4766ed,457664237
80748,0x1b4766ed,457664237
80749,0x1b4766ed,457664237
80750,0x1b4766ed,457664237
80751,0x1b4766ed,457664237
80752,0x1b4766ed,457664237
80753,0x1b4766ed,457664237
80754,0x1b4766ed,457664237
80755,0x1b4766ed,457664237
80756,0x1b4766ed,457664237
80757,0x1b4766ed,457664237
80758,0x1b4766ed,457664237
80759,0x1b4766ed,457664237
80760,0x1b4766ed,457664237
80761,0x1b4766ed,457664237
80762,0x1b4766ed,457664237
80763,0x1b4766ed,457664237
80764,0x1b4766ed,457664237
80765,0x1b4766ed,457664237
80766,0x1b4766ed,457664237
80767,0x1b4766ed,457664237
80768,0x1b4766ed,457664237
80769,0x1b4766ed,457664237
80770,0x1b4766ed,457664237
80771,0x1b4766ed,457664237
80772,0x1b4766ed,457664237
80773,0x1b4766ed,457664237
80774,0x1b4766ed,457664237
80775,0x1b4766ed,457664237
80776,0x1b4766ed,457664237
80777,0x1b4766ed,457664237
80778,0x1b4766ed,457664237
80779,0x1b4766ed,457664237
